"Low","Medium","High","MeanDecreaseAccuracy","MeanDecreaseGini","Feature"
41.0111191985005,18.844388397357,27.0973693738822,40.914972563428,1840.46703098012,"total_transactions"
24.2967906150576,15.676842557452,22.4916373958698,28.828314611063,1176.81079800823,"Received.Tnx"
13.3583707295158,20.2366676795641,24.3540595934068,27.6792022105755,1121.61214547253,"Total.ERC20.tnxs"
23.7682876208357,19.1817358122465,18.2346329014289,28.0944843358965,925.308491551981,"total.ether.received"
11.1601773544799,13.5800109354162,19.7809939947044,20.3362963017473,772.473163370619,"ERC20.uniq.rec.addr"
11.6082107762351,15.5929501388919,20.5187554757187,21.5632090135513,730.389106015011,"ERC20.total.Ether.received"
14.452041349515,33.7634050375005,31.3714808462268,34.0968321799263,720.600173700709,"Time.Diff.between.first.and.last..Mins."
18.2919333078659,15.493092458386,15.1250473861688,22.604067295369,656.167511211892,"total.Ether.sent"
16.9962399655063,14.3806562137313,15.5146940152563,21.9512878984146,515.723783434311,"Sent.tnx"
18.1361299456932,30.4773707380529,26.2221669693127,33.4864967980234,438.182478858611,"Avg.min.between.received.tnx"
17.6279441031756,12.9537496275616,20.962176447397,27.0905991526185,310.60146430918,"avg.val.received"
14.3579557627554,17.5882800031954,17.9403843674938,22.6917037222146,308.096412852167,"sent_received_ratio"
9.69015158398834,16.3531514242269,17.1502497776095,20.6834584040064,273.089949770434,"total.ether.balance"
15.0731903150534,12.3433954598188,14.1065851262695,21.5796854187822,128.264449168294,"avg.val.sent"
19.886368825191,12.6090510926488,11.4179530559798,22.1324403827036,119.525212613617,"Avg.min.between.sent.tnx"
13.7746331949642,11.7472802288888,16.908804115855,20.6202802479106,98.1917738701385,"ERC20.total.ether.sent"
10.9687876273011,10.569795809244,13.2827831395904,18.2359696545725,88.2938340159317,"ether_flow_ratio"
17.1026747449353,10.3795179737519,14.412458303569,18.0289021807561,69.875277044582,"ERC20.uniq.sent.addr"
6.39841370380873,11.8246629696062,9.63925773620298,12.1483119150033,62.8309396285768,"Number.of.Created.Contracts"
